origin,destination,count
ABE,ATL,853
48329,48329,14586
48439,48439,11137
48113,48113,9648
48329,48135,8232
48135,48329,7581
48113,48439,7311
48439,48113,6972
48317,48329,4978
48227,48329,3983
48135,48135,3772
48329,48317,3074
48329,48227,3018
48389,48389,2998
48367,48439,2721
48439,48367,2697
48389,48475,2411
48389,48135,2388
48389,48329,2245
48367,48367,2108
48475,48135,2088
48135,48475,1904
48475,48475,1864
48329,48475,1741
48475,48389,1727
48227,48227,1715
48475,48329,1654
48139,48113,1642
48173,48329,1613
48113,48139,1594
48461,48329,1484
48257,48113,1443
48113,48257,1431
48135,48389,1420
48329,48173,1284
48441,48441,1255
48203,48183,1232
48317,48135,1207
48329,48461,1189
48495,48389,1187
48173,48135,1172
48329,48389,1137
48139,48439,1125
48439,48251,1108
48183,48203,1099
48251,48439,1087
48227,48135,937
48439,48139,934
48371,48135,850
48371,48329,839
48389,48495,804
48317,48227,772
48183,48183,768
48383,48329,741
48495,48329,738
48135,48227,724
48135,48317,703
48121,48439,684
48251,48113,648
48461,48135,641
48257,48257,624
48203,48203,587
48135,48173,578
48113,48251,576
48227,48317,565
48183,48423,562
48383,48135,535
48439,48121,520
48423,48183,506
48467,48113,502
48329,48371,482
48113,48367,478
48367,48113,475
48329,48383,465
48135,48371,461
48353,48353,456
48203,22017,449
48301,48329,447
48329,48495,445
48221,48439,434
48085,48439,430
48121,48113,428
48423,48423,411
48113,48467,391
48439,48221,390
48203,48423,388
48113,48121,385
22017,48203,384
48423,48203,376
48113,48085,366
48135,48461,365
48085,48113,363
48103,48329,361
48371,48475,361
48133,48133,355
48439,48085,344
48495,48135,331
48353,48441,328
35025,48329,319
48317,48317,305
48441,48059,305
48439,48257,304
48059,48441,298
48257,48439,298
48113,48423,296
48367,48363,293
48227,48335,290
48363,48367,287
48451,48329,275
48173,48227,270
48423,48113,267
48441,48353,264
48135,48383,263
48335,48227,263
48227,48173,262
48301,48135,262
48103,48389,259
48103,48135,259
22017,48183,257
48475,48371,256
48495,48475,252
48329,48003,251
35015,48329,249
48003,48329,247
48135,48103,247
48251,48367,246
48363,48439,246
48389,48109,243
22015,48203,240
48439,48363,236
48183,22017,233
48201,48113,231
48389,35025,229
35025,48389,228
48121,48367,227
48365,48183,225
48109,48389,220
48401,48203,220
48329,48103,219
48135,48495,218
48201,48439,215
48183,48365,208
48467,48423,204
48367,48251,201
48423,48467,200
48213,48113,199
48109,48329,198
35025,48135,197
48389,48371,195
48397,48113,195
48475,48103,182
48113,48397,180
48257,48467,180
48103,48475,179
48143,48367,178
48367,48121,178
48203,22015,174
48371,48389,174
48113,48213,173
48353,48151,173
22031,48203,170
48203,48401,166
48415,48329,166
48475,48317,165
48365,48203,161
48203,48365,157
48309,48113,157
48003,48475,154
48151,48353,152
22017,48423,146
35015,48135,145
48303,48441,144
48141,48475,140
48467,48467,140
48133,48441,138
48329,35025,138
48113,48349,134
48349,48113,133
48085,48257,132
48301,48475,132
48113,22017,131
48329,48451,131
48461,48227,131
48467,48257,131
48141,48135,130
48113,48201,129
48221,48367,128
48367,48221,127
48497,48439,127
48121,48139,124
48441,48133,124
48113,48309,123
48183,48401,123
48415,48353,123
48109,48135,122
48441,48253,122
48227,48461,120
48383,48475,119
48317,48475,118
48329,48301,117
48335,48353,117
48003,48135,116
48203,22031,116
48335,48329,116
48439,48467,116
22017,48113,114
48027,48113,114
48257,48085,113
48439,48423,113
48475,48495,113
48115,48329,111
48301,48389,110
48423,22017,110
48439,48497,110
48133,48367,109
48135,35025,109
48227,48475,109
48389,48003,107
48461,48317,107
48467,48439,107
48423,48439,106
48353,48329,105
48003,48389,104
48141,48389,104
48329,48353,104
48389,48141,104
48453,48113,104
48059,48059,103
48183,48467,103
48253,48441,103
48475,48227,103
48221,48113,102
48329,48335,102
48135,48301,101
5099,48113,100
48367,48143,100
48367,48133,98
48139,48085,97
48353,48415,97
48251,48363,95
48451,48135,95
48141,48227,92
48085,48139,90
48439,48201,90
48227,48353,89
48423,48257,89
48439,48349,89
48029,48113,88
48143,48439,88
48231,48113,88
48335,48335,88
22015,48183,87
48113,48217,87
48329,35015,86
48309,48439,85
48329,48415,84
48475,48383,84
48353,48335,83
48441,48439,83
48113,48453,82
48401,48183,82
48113,48231,81
48329,48441,81
48141,48329,80
48441,48113,80
48121,48257,79
48257,48423,78
48139,48257,77
48317,48461,77
48441,48329,77
48103,48227,76
48113,48441,75
48349,48439,75
48141,48353,73
48475,48003,73
48113,48183,72
48133,48439,72
48183,22015,72
48217,48113,72
48353,48227,72
48389,48301,72
48439,48143,72
48113,48133,70
48227,48033,70
48439,48397,70
48113,48027,69
48139,48121,69
48303,48353,69
48439,48309,69
48183,48113,68
48441,48227,68
48439,48441,67
48439,48133,67
48109,48475,66
48033,48329,65
48459,48203,65
48475,48301,65
48495,48173,65
48113,5099,64
48135,48003,64
48227,48441,64
48439,48217,64
48467,48183,64
48491,48113,64
48329,48109,63
48441,48151,63
22083,48183,62
48139,48367,62
48389,48227,62
48441,48303,62
48183,48213,61
48397,48439,61
48423,48499,60
35025,48227,59
48027,48439,59
48085,48367,59
48151,48441,59
48113,48221,58
48135,48451,58
48161,48113,58
48221,48121,58
48227,48383,58
48329,48115,58
48389,48103,58
48415,48441,57
48485,48251,57
48499,48423,57
48085,48423,56
48221,48363,56
48231,48439,56
48415,48135,56
48133,48113,55
48397,48139,55
48401,48423,54
48203,48113,53
48253,48353,53
48303,48135,53
48383,48227,53
48135,35015,52
48257,48121,52
48367,48139,52
48497,48367,52
22119,48203,51
48213,48183,51
48363,48251,51
48441,48367,51
22061,48183,50
48113,48223,50
48135,48141,50
48213,48439,50
48353,48059,50
48257,48139,49
48303,48329,49
48461,48475,49
48173,48335,48
48317,48415,48
48415,48227,48
48431,48329,48
48439,22017,48
48475,48141,48
48495,48383,48
22017,48439,47
22065,48423,47
22119,48423,47
35015,48475,47
48113,48363,47
48183,48439,47
48227,48389,47
48033,48227,46
48135,48441,46
48367,48441,46
48441,48415,46
22031,48183,45
48085,48251,45
48121,48251,45
48329,48105,45
48423,48401,45
48439,48213,45
48441,48135,45
48495,48103,45
48003,48227,44
48203,22119,44
48317,48335,44
48367,48497,44
48367,48329,44
48085,48213,43
48113,5119,43
48363,48363,43
48389,48317,43
48105,48329,42
48113,48029,42
48181,48439,42
48203,48459,42
48231,48257,42
48423,48085,42
48439,48231,42
48453,48439,42
22119,48183,41
48103,48495,41
48113,48161,41
48217,48439,41
48235,48329,41
48467,22017,41
48475,48461,41
22061,48203,40
22065,48257,40
48173,48317,40
48183,22119,40
48227,48451,40
22017,48467,39
22065,48113,39
35025,48475,39
48133,48363,39
48135,48033,39
48227,48113,39
48329,48367,39
48353,48367,39
48353,48135,39
5125,48113,38
48135,48353,38
48227,48415,38
48227,48141,38
48329,48439,38
48451,48317,38
22015,48423,37
48033,48135,37
48059,48329,37
48133,48059,37
48135,48335,37
48353,48439,37
48363,48113,37
48439,48027,37
48441,48335,37
22065,48467,36
35023,48389,36
48121,48467,36
48173,48475,36
48213,48085,36
48257,48183,36
48353,48133,36
48451,48227,36
48143,48113,35
48367,48085,35
48425,48439,35
5019,48113,34
48085,48467,34
48109,48227,34
48133,48329,34
48139,48397,34
48223,48113,34
48227,48003,34
48257,22017,34
48329,48133,34
35015,48227,33
48113,48497,33
48141,48441,33
48141,48133,33
48165,48329,33
48183,22031,33
48227,48367,33
48257,48367,33
48317,48173,33
48467,48085,33
48139,48231,32
48329,48235,32
48439,48425,32
48439,48183,32
48441,48363,32
5119,48139,31
22017,48257,31
48037,48113,31
48059,48439,31
48113,48353,31
48151,48329,31
48329,48033,31
48335,48441,31
48353,48303,31
48363,48441,31
48367,48227,31
48383,48389,31
48439,48059,31
48441,48417,31
48475,48109,31
48499,48183,31
5119,48113,30
35013,48475,30
48027,48343,30
48059,48253,30
48121,48423,30
48135,48415,30
48141,48335,30
48201,48329,30
48231,48423,30
48251,48121,30
48329,48141,30
48335,48135,30
48363,48133,30
48367,48059,30
48415,48317,30
48459,48423,30
48459,48183,30
48479,48037,30
48479,48113,30
22017,48401,29
35013,48227,29
35023,48475,29
48059,48133,29
48113,22073,29
48133,48353,29
48257,48231,29
48317,48451,29
48353,48253,29
48363,48221,29
48367,48237,29
48439,48329,29
48439,48453,29
48459,22017,29
48461,48003,29
48479,48223,29
22079,48113,28
35013,48389,28
48027,48397,28
48027,48223,28
48135,48109,28
48139,48343,28
48227,48133,28
48401,22017,28
48439,48161,28
48485,48439,28
22061,48467,27
48059,48113,27
48113,48037,27
48115,48135,27
48183,48257,27
48203,48467,27
48217,48367,27
48317,48389,27
48339,48439,27
48001,48113,26
48113,48289,26
48113,48471,26
48113,48203,26
48227,48115,26
48243,48389,26
48251,48257,26
48329,48431,26
48423,22015,26
22073,48467,25
22119,48467,25
48003,48461,25
48029,48439,25
48103,48317,25
48113,48059,25
48113,48329,25
48113,48499,25
48141,48059,25
48201,48367,25
48289,48113,25
48303,48389,25
48335,48173,25
48339,48113,25
48353,48141,25
48423,48365,25
48471,48439,25
48497,48113,25
48503,48439,25
22017,48367,24
22031,48423,24
22119,48113,24
35015,48389,24
35029,48475,24
48105,48135,24
48113,5125,24
48121,48213,24
48139,48497,24
48201,48133,24
48203,48439,24
48209,48113,24
48217,5099,24
48303,48227,24
48309,48367,24
48309,48223,24
48317,48495,24
48317,48441,24
48329,48303,24
48367,48353,24
48491,48439,24
48497,48251,24
5119,48217,23
22073,48113,23
48113,48491,23
48113,48143,23
48115,48227,23
48139,48223,23
48201,48121,23
48201,48135,23
48227,48103,23
48257,48213,23
48353,48113,23
48423,22119,23
48439,48181,23
22015,48113,22
22065,48183,22
48003,48103,22
48183,48499,22
48201,48497,22
48223,48217,22
48237,48367,22
48335,48317,22
48383,48317,22
48397,48257,22
48441,48451,22
48467,48441,22
35013,48353,21
40109,48113,21
48037,48139,21
48059,48367,21
48113,48227,21
48121,48441,21
48161,48439,21
48181,48113,21
48227,48109,21
48257,48251,21
48315,48423,21
48317,48103,21
48337,48439,21
48417,48441,21
48431,48135,21
48475,48133,21
5035,48113,20
22061,48423,20
22073,48423,20
22081,48203,20
35013,48135,20
40109,48441,20
48029,48135,20
48037,48217,20
48133,48475,20
48139,48467,20
48203,48257,20
48217,48231,20
48227,48431,20
48237,48439,20
48251,48085,20
48253,48059,20
48335,48415,20
48389,48461,20
48479,5099,20
48049,48439,19
48109,48353,19
48113,22015,19
48121,48201,19
48159,48113,19
48227,48439,19
48329,48501,19
48329,48059,19
48363,48329,19
48367,48475,19
48439,48339,19
48441,48141,19
48461,48173,19
48471,48113,19
48475,48353,19
48495,48227,19
48495,48461,19
22073,48183,18
22073,48203,18
22083,48423,18
48027,48231,18
48029,48329,18
48029,48389,18
48037,48367,18
48059,48135,18
48113,48401,18
48113,48001,18
48135,48133,18
48139,48037,18
48139,5099,18
48157,48439,18
48183,48223,18
48201,48059,18
48315,48183,18
48317,48353,18
48349,48257,18
48367,48257,18
48417,48059,18
48423,48367,18
48475,48173,18
48495,48317,18
5019,48217,17
5123,48217,17
22013,48203,17
48033,48317,17
48059,48353,17
48135,48303,17
48215,48113,17
48223,48139,17
48223,48423,17
48301,48371,17
48353,48389,17
48419,48183,17
48423,48231,17
48435,48329,17
48467,48401,17
48475,48441,17
48475,35015,17
5019,48139,16
22017,48085,16
22065,48367,16
35029,48389,16
48041,48113,16
48113,22119,16
48113,48091,16
48133,48135,16
48133,48227,16
48173,48495,16
48201,48353,16
48213,48257,16
48217,48223,16
48221,48085,16
48231,48139,16
48251,48139,16
48253,48329,16
48257,48133,16
48303,48113,16
48397,48027,16
48401,48113,16
48423,48315,16
48423,48223,16
48439,48289,16
48461,48389,16
48467,48367,16
48475,35025,16
48503,48113,16
22015,48257,15
35023,48329,15
48003,48317,15
48027,48037,15
48029,48231,15
48035,48113,15
48073,48113,15
48113,5091,15
48113,48303,15
48133,48389,15
48165,48227,15
48173,48389,15
48173,48353,15
48201,48441,15
48207,48329,15
48217,48037,15
48235,48135,15
48257,48363,15
48289,48439,15
48367,48389,15
48367,48135,15
48371,48003,15
48371,48227,15
48389,35015,15
48389,48243,15
48397,48251,15
48423,48121,15
48439,48485,15
48439,48353,15
48451,48441,15
48453,48367,15
48467,22065,15
48467,48121,15
48479,48231,15
48479,5019,15
48485,48423,15
22015,48365,14
22061,48257,14
22065,48203,14
22065,48439,14
22073,48257,14
22083,48467,14
22085,48203,14
22119,48257,14
35015,48451,14
35029,48227,14
48027,48257,14
48037,48027,14
48085,48363,14
48091,48113,14
48113,22065,14
48113,48339,14
48121,48221,14
48121,22017,14
48133,48251,14
48135,48043,14
48143,48121,14
48159,48027,14
48173,48371,14
48201,48077,14
48201,48085,14
48213,48423,14
48223,48133,14
48223,48183,14
48227,48303,14
48227,48059,14
48227,48495,14
48257,22065,14
48301,48227,14
48317,48371,14
48317,48033,14
48329,48113,14
48347,48423,14
48365,48423,14
48365,48459,14
48367,48309,14
48389,35013,14
48389,48441,14
48439,48029,14
48439,22015,14
48441,48475,14
48467,48139,14
48499,48113,14
5123,48139,13
22017,48139,13
22079,48423,13
22083,48113,13
35025,48317,13
35029,48135,13
40019,48113,13
40109,48329,13
48003,48173,13
48049,48353,13
48049,48133,13
48097,48113,13
48121,48363,13
48133,48335,13
48133,48423,13
48173,48461,13
48183,48139,13
48201,48397,13
48207,48441,13
48223,48027,13
48227,35025,13
48257,48203,13
48257,48397,13
48257,48309,13
48263,48135,13
48363,48059,13
48367,48109,13
48389,48133,13
48389,48353,13
48401,48467,13
48419,48203,13
48423,48459,13
48423,22031,13
48439,48223,13
48451,48439,13
48459,48365,13
48467,48203,13
48475,48059,13
48479,5091,13
48497,48201,13
5091,48309,12
5091,48113,12
5099,48027,12
22017,48121,12
22031,48401,12
22079,48183,12
35013,48329,12
35015,48353,12
48003,48371,12
48027,48367,12
48033,48353,12
48037,48439,12
48039,48113,12
48081,48135,12
48097,48439,12
48109,48367,12
48109,48441,12
48113,48159,12
48121,48183,12
48133,48221,12
48133,48109,12
48147,48113,12
48165,48389,12
48173,48003,12
48183,22073,12
48183,22083,12
48183,48367,12
48203,22061,12
48217,5091,12
48229,48389,12
48303,48133,12
48309,48257,12
48353,48363,12
48365,22015,12
48367,48467,12
48389,35023,12
48389,48303,12
48439,48503,12
48439,48227,12
48467,22079,12
48479,48397,12
48495,48109,12
5091,48217,11
5099,48309,11
22013,48183,11
22015,48459,11
22017,22017,11
22033,48467,11
22079,48467,11
22081,48183,11
35023,48135,11
48005,48423,11
48059,48303,11
48061,48113,11
48067,22017,11
48103,48003,11
48113,48073,11
48113,48135,11
48113,48157,11
48113,22097,11
48113,48209,11
48113,22069,11
48135,48105,11
48139,5091,11
48159,48217,11
48183,48315,11
48183,22013,11
48201,48257,11
48213,48121,11
48217,5019,11
48219,48329,11
48223,48367,11
48227,35015,11
48251,48397,11
48293,48113,11
48309,5099,11
48309,5091,11
48329,48253,11
48349,48085,11
48353,48049,11
48365,22017,11
48367,48217,11
48389,48173,11
48397,48467,11
48401,22015,11
48423,48397,11
48423,48347,11
48425,48367,11
48439,48491,11
48441,48317,11
48449,48217,11
48497,48139,11
5019,48027,10
5019,48309,10
5019,48367,10
5091,48139,10
5091,48027,10
5099,48367,10
5125,48139,10
5139,48423,10
22015,48401,10
22033,48441,10
22061,48113,10
22097,48423,10
35025,48353,10
40109,48439,10
48003,48335,10
48013,48329,10
48059,48201,10
48073,22017,10
48085,48349,10
48109,48059,10
48113,22079,10
48121,48143,10
48133,48141,10
48133,48303,10
48139,22017,10
48139,48423,10
48139,48159,10
48143,48441,10
48159,48367,10
48169,48353,10
48183,48419,10
48201,22017,10
48201,48227,10
48203,48367,10
48251,48423,10
48251,48133,10
48277,48113,10
48289,48183,10
48301,48495,10
48303,48475,10
48309,48159,10
48309,48397,10
48309,48085,10
48309,48231,10
48317,48003,10
48329,48435,10
48349,48397,10
48353,48467,10
48353,48109,10
48367,48335,10
48371,48495,10
48377,48135,10
48389,48059,10
48397,48367,10
48399,48353,10
48423,22073,10
48429,48441,10
48439,48203,10
48441,48429,10
48449,48139,10
48451,48475,10
48451,48353,10
48467,22015,10
48467,22061,10
48473,48113,10
48475,35013,10
48499,48439,10
48499,48257,10
48501,48329,10
48503,48367,10
5059,48113,9
5099,48217,9
5119,48133,9
22015,48439,9
22015,48467,9
22017,48365,9
22097,48467,9
22119,48439,9
35015,48441,9
35029,48329,9
40143,48439,9
48001,22017,9
48029,48367,9
48035,48439,9
48037,48309,9
48049,48367,9
48059,48141,9
48059,48467,9
48085,48183,9
48085,22015,9
48113,48181,9
48113,48293,9
48113,40109,9
48113,40019,9
48121,48133,9
48121,48349,9
48133,48497,9
48133,48257,9
48133,48201,9
48135,35013,9
48135,48435,9
48135,48439,9
48139,48485,9
48141,48317,9
48157,48113,9
48183,48121,9
48187,48113,9
48187,48329,9
48201,48485,9
48201,48363,9
48203,22081,9
48207,48353,9
48213,48203,9
48227,48467,9
48227,48371,9
